dataset_id,dataset_family,dataset_name,provider_name,provider_type,primary_url,api_url,download_url,documentation_url,metadata_url,access_type,api_available,api_type,supports_bulk_download,requires_registration,rate_limits,authentication_method,data_format_primary,data_format_secondary,metadata_standard,compression,coordinate_reference_system,grid_type,description_short,description_long,primary_variables,derived_variables,spatial_representation,intended_use_cases,spatial_scope,spatial_resolution,spatial_units,geographic_coverage_notes,temporal_coverage_start,temporal_coverage_end,temporal_resolution,update_frequency,timeliness,real_time_capability,first_release_year,current_version,versioning_scheme,maintenance_status,last_update_date,update_log_url,license_type,license_url,usage_constraints,citation_requirement,redistribution_allowed,quality_flags_available,uncertainty_fields_available,validation_method,dataset_limitations,related_datasets,parent_collection,child_datasets,duplicate_with,superseded_by,belongs_to_MCP_server,contact_email,contact_form_url,institution_country,funding_agency,notes_internal,notes_for_MCP_wrapping,notes_for_agent_usage,provider,description,api_endpoint,thematic_type,temporal_coverage,data_formats,licence,notes,source_type,auth_env_hints,registration_required,registration_url
global-change-data-lab_global_change_data_lab,Our World in Data,Global Change Data Lab,Global Change Data Lab,non-profit,https://global-change-data-lab.org/,,https://ourworldindata.org,,,registration or restricted,False,,True,True,,,,,,,,,"The Global Change Data Lab is a non-profit research organization in the education sector. Our purpose is to advance education in how global living conditions and the earth’s environment are changing, through the production and maintenance of public online resources and related products.",,,,,,global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual mapping applied for pattern 'global-change-data-lab.org'.,Auto-generated from primary URL; review and enrich manually.,,,,,,,,,,,,,
copernicus_please_update_your_bookmarks_—_copernicu,Copernicus Global Land Service (CGLS),Please update your bookmarks — Copernicus Land Monitoring Service,Copernicus Land Monitoring Service,European land service,https://land.copernicus.eu/global/,https://documentation.dataspace.copernicus.eu/APIs/SentinelHub/Data/CLMS.html,https://land.copernicus.eu/en/dataset-catalog,https://land.copernicus.eu/en/how-to-guides,https://land.copernicus.eu/en/dataset-catalog,open with terms,True,OGC/HTTP,True,False,,,,,,,,,"The Copernicus Data Space Ecosystem (CDSE) is currently onboarding the CLMS products; this action will allow users to explore a full range of additional possibilities in data access, visualization and processing. The data ingestion process is expected to last until the end of 2025.",,,,raster grid,"land cover, vegetation, biophysical indicators, global monitoring",global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EO/Land Cover MCP,,,,,"Includes global land cover, LAI, FAPAR, etc. Key for vegetation monitoring. Manual mapping applied for pattern 'land.copernicus.eu/global'.",Auto-generated from primary URL; review and enrich manually.,,,,,,,,,,,,,
copernicus_vegetation_—_copernicus_land_monitoring_,CGLS LAI,Leaf Area Index (LAI) - CGLS,Copernicus Land Monitoring Service,European land service,https://land.copernicus.eu/global/products/lai,,https://land.copernicus.eu/en/dataset-catalog,https://land.copernicus.eu/en/how-to-guides,https://land.copernicus.eu/en/dataset-catalog,open with terms,True,OGC/HTTP,True,False,,,,,,,,,"The Vegetation product group provides products describing the state, the dynamism and the disturbances of the terrestrial vegetation. The global vegetation product suite is available as long-term timeseries at lower lever of details. At pan-European level the products are available at higher leve...",,Leaf Area Index (LAI),,raster grid,"vegetation structure, forest condition, ecosystem modelling",global,,,,,,10-day composites,near-real-time,,,,,,,,,,,,,,,,,,,,,,,EO/Land Cover MCP,,,,,"Includes global land cover, LAI, FAPAR, etc. Key for vegetation monitoring. Manual mapping applied for pattern 'land.copernicus.eu/global'. Manual mapping applied for pattern 'land.copernicus.eu/global/products/lai'.",Auto-generated from primary URL; review and enrich manually.,,,,,,,,,,,,,
vito_application.html,,Application.html,VITO,,"https://land.copernicus.vgt.vito.be/PDF/portal/Application.html#Browse;Root=512260;Collection=1000062;Time=NORMAL,NORMAL,-1,,,-1",,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto-generated from primary URL; review and enrich manually.,,,,,,,,,,,,,
ipbes_history_of_the_establishment_of_ipbes_|_,,History of the establishment of IPBES | IPBES secretariat,IPBES,,https://ipbes.net/node/36431,,,https://ipbes.net/documents,,registration or restricted,False,,False,True,,,,,,,,,"At a meeting on biodiversity and ecosystem services in June 2010, States adopted the Busan outcome document which stated that “an intergovernmental science-policy platform for biodiversity and ecosystem services should be established”. By resolution 65/162 of 20 December 2010, the General Assembl...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto-generated from primary URL; review and enrich manually.,,,,,,,,,,,,,
ourworldindata_our_world_in_data,Our World in Data,OWID Grapher datasets,Our World in Data,non-profit / research organisation,https://ourworldindata.org/,https://ourworldindata.org/vaping-vs-smoking-health-risks,https://ourworldindata.org/,https://ourworldindata.org/data-insights#most-recent-data-insight,,open,True,HTTP CSV / Grapher API,True,False,,,CSV,,,,,,Research and data to make progress against the world’s largest problems,,various socio-economic and environmental indicators,,tabular (country-year indicators),"macro context, socio-economic covariates, policy benchmarks",global (country-level),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Socio-economic/Statistics MCP,,,,,Useful for country-level covariates and narrative indicators. Manual mapping applied for pattern 'ourworldindata.org'.,Auto-generated from primary URL; review and enrich manually.,,,,,,,,,,,,,
ourworldindata_how_we’re_funded_-_our_world_in_data,Our World in Data,OWID Grapher datasets,Our World in Data,non-profit / research organisation,https://ourworldindata.org/funding,,https://ourworldindata.org/,,,open,True,HTTP CSV / Grapher API,True,True,,,CSV,,,,,,"Our World in Data is a collaborative effort between researchers at the University of Oxford, who are the scientific editors of the website content; and the non-profit organization Global Change Data Lab (GCDL), which publishes and maintains the website and the data tools that make our work possible.",,various socio-economic and environmental indicators,,tabular (country-year indicators),"macro context, socio-economic covariates, policy benchmarks",global (country-level),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Socio-economic/Statistics MCP,,,,,Useful for country-level covariates and narrative indicators. Manual mapping applied for pattern 'ourworldindata.org'.,Auto-generated from primary URL; review and enrich manually.,,,,,,,,,,,,,
ourworldindata_population_-_our_world_in_data,Our World in Data,OWID Grapher datasets,Our World in Data,non-profit / research organisation,https://ourworldindata.org/grapher/population-with-un-projections,,https://ourworldindata.org/,,,open,True,HTTP CSV / Grapher API,True,False,,,CSV,,,,,,Future projections are based on the UN medium scenario.,,various socio-economic and environmental indicators,,tabular (country-year indicators),"macro context, socio-economic covariates, policy benchmarks",global (country-level),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Socio-economic/Statistics MCP,,,,,Useful for country-level covariates and narrative indicators. Manual mapping applied for pattern 'ourworldindata.org'.,Auto-generated from primary URL; review and enrich manually.,,,,,,,,,,,,,
wri_forest_carbon_removals_-_datasets_-_wri_,,Forest Carbon Removals - Datasets - WRI ODP,WRI,,https://datasets.wri.org/datasets/gfw-forest-carbon-gross-removals,https://www.globalforestwatch.org/map/?map=eyJkYXRhc2V0cyI6W3siZGF0YXNldCI6ImNhcmJvbi1yZW1vdmFscyIsIm9wYWNpdHkiOjEsInZpc2liaWxpdHkiOnRydWUsImxheWVycyI6WyJjYXJib24tcmVtb3ZhbHMtMjAwMS0yMDIwIl19LHsiZGF0YXNldCI6InBvbGl0aWNhbC1ib3VuZGFyaWVzIiwibGF5ZXJzIjpbImRpc3B1dGVkLXBvbGl0aWNhbC1ib3VuZGFyaWVzIiwicG9saXRpY2FsLWJvdW5kYXJpZXMiXSwib3BhY2l0eSI6MSwidmlzaWJpbGl0eSI6dHJ1ZX1dfQ%3D%3D,https://datasets.wri.org/search,https://datasets.wri.org/user-guide,,registration or restricted,True,OGC,True,True,,,,,,,,,This gross removals layer is part of the forest carbon flux model described in Harris et al. (2021). This paper introduces a geospatial monitoring framework for estimating global forest carbon fluxes which can assist a variety of actors and organizations with tracking greenhouse gas fluxes from f...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto-generated from primary URL; review and enrich manually.,,,,,,,,,,,,,
ourworldindata_nuclear_energy_-_our_world_in_data,Our World in Data,OWID Grapher datasets,Our World in Data,non-profit / research organisation,https://ourworldindata.org/nuclear-energy,https://ourworldindata.org/grapher/co2-emissions-fossil-land?stackMode=relative,https://ourworldindata.org/,,,open,True,HTTP CSV / Grapher API,True,False,,,CSV,,,,,,Explore global data on nuclear energy production and the safety of nuclear technologies.,,various socio-economic and environmental indicators,,tabular (country-year indicators),"macro context, socio-economic covariates, policy benchmarks",global (country-level),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Socio-economic/Statistics MCP,,,,,Useful for country-level covariates and narrative indicators. Manual mapping applied for pattern 'ourworldindata.org'.,Auto-generated from primary URL; review and enrich manually.,,,,,,,,,,,,,
ourworldindata_search_-_our_world_in_data,Our World in Data,OWID Grapher datasets,Our World in Data,non-profit / research organisation,https://ourworldindata.org/search,,https://ourworldindata.org/,,,open,True,HTTP CSV / Grapher API,True,False,,,CSV,,,,,,Search articles and charts on Our World in Data. Filter by country or subject area to discover insights on global issues supported by reliable data.,,various socio-economic and environmental indicators,,tabular (country-year indicators),"macro context, socio-economic covariates, policy benchmarks",global (country-level),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Socio-economic/Statistics MCP,,,,,Useful for country-level covariates and narrative indicators. Manual mapping applied for pattern 'ourworldindata.org'.,Auto-generated from primary URL; review and enrich manually.,,,,,,,,,,,,,
copernicus_clms_portfolio_—_copernicus_land_monitor,Copernicus Imagery & In Situ,CLMS portfolio — Copernicus Land Monitoring Service,COPERNICUS,,https://land.copernicus.eu/imagery-in-situ,,https://land.copernicus.eu/en/dataset-catalog,https://land.copernicus.eu/en/how-to-guides,https://land.copernicus.eu/en/dataset-catalog,open,False,,True,False,,,,,,,,,"Full-coverage land cover and land use mapping tracks different types of land cover and its changes in Europe and around the world. European maps include detailed layers showing the extent of impervious surfaces, tree cover and forests, grasslands, croplands, small woody areas and water and wetness.",,,,,"reference layers, orthophotos, in-situ support for EO products",continental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EO/Land Cover MCP,,,,,Manual mapping applied for pattern 'land.copernicus.eu/imagery-in-situ'.,Auto-generated from primary URL; review and enrich manually.,,,,,,,,,,,,,
figshare_item_-_natural_forests_of_the_world_2020,,Item - Natural forests of the world 2020 - probability maps - Figshare+ - Figshare,FIGSHARE,,https://plus.figshare.com/articles/dataset/Natural_forests_of_the_world_2020_-_probability_maps/28881731,,https://plus.figshare.com/ndownloader/articles/28881731/versions/2,https://info.figshare.com/user-guide/figshare-plus-user-guide/,,open with terms,False,,True,False,,,,,,,,,Natural forests of the world 2020 - probability maps,,,,,,global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto-generated from primary URL; review and enrich manually.,,,,,,,,,,,,,
resilient-planet-data_resilient_planet_data_hub,,Resilient Planet Data Hub,RESILIENT-PLANET-DATA,,https://resilient-planet-data.org/,,,,,open,False,,False,False,,,,,,,,,Open data for a more resilient planet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto-generated from primary URL; review and enrich manually.,,,,,,,,,,,,,
googleapis_global_forest_change,,Global Forest Change,GOOGLEAPIS,,https://storage.googleapis.com/earthenginepartners-hansen/GFC-2025-v1.13/download.html,https://storage.googleapis.com/earthenginepartners-hansen/GFC-2025-v1.13/download_v1.0.html,https://storage.googleapis.com/earthenginepartners-hansen/GFC-2025-v1.13/Hansen_GFC-2025-v1.13_treecover2000_40N_080W.tif,,,registration or restricted,True,REST,True,True,,,GeoTIFF,,,,,,"Results from time-series analysis of Landsat images in characterizing global forest extent and change from 2000 through 2025.  For additional information about these results, please see the associated journal article (Hansen et al., Science 2013).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto-generated from primary URL; review and enrich manually.,,,,,,,,,,,,,
esg-intelligence_blockchain-for-sustainability,,blockchain-for-sustainability,ESG-INTELLIGENCE,,https://esg-intelligence.com/blockchain-for-sustainability/,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto-generated from primary URL; review and enrich manually.,,,,,,,,,,,,,
readthedocs_introduction_to_geospatial_data_—_torchg,TorchGeo,Introduction to Geospatial Data — torchgeo 0.7.2 documentation,TorchGeo,open-source library,https://torchgeo.readthedocs.io/en/stable/tutorials/geospatial.html,https://torchgeo.readthedocs.io/en/stable/api/datamodules.html,https://torchgeo.readthedocs.io/en/stable/api/datamodules.html,https://pytorch.org/executorch/stable/index.html,,open with terms,True,REST,True,False,,,,,,,,,Run PyTorch locally or get started quickly with one of the supported cloud platforms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual mapping applied for pattern 'torchgeo.readthedocs.io'.,Auto-generated from primary URL; review and enrich manually.,,,,,,,,,,,,,
esa_esa_worldcover_2020,,ESA WorldCover 2020,ESA,,https://worldcover2020.esa.int/viewer,,https://worldcover2020.esa.int/download,https://worldcover2020.esa.int/documentation,,open,False,,True,False,,,,,,,,,"ESA WorldCover 2020 global land cover product at 10 m resolution. Considering the heavy download of the WorldCover map at 10m, a web interface was developed to mainly visualize and interact with data.",,,,,,global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto-generated from primary URL; review and enrich manually.,,,,,,,,,,,,,
ecmwf_era5,ERA5,ERA5 atmospheric reanalysis,ECMWF,European weather centre,https://www.ecmwf.int/en/forecasts/datasets/reanalysis-datasets/era5,,,https://confluence.ecmwf.int/display/CKB/ERA5%3A+data+documentation,,open with registration,True,CDS API,False,True,,,,,,,,,,,,,raster grid,"climate reanalysis, NWP training, weather and climate research",global,,,,1940.0,ongoing,hourly,monthly / near-real-time,,,,,,,,,,,,,,,,,,,,,,,EO/Climate MCP,,,,,High-value global climate backbone; prioritize MCP wrapping. Manual mapping applied for pattern 'ecmwf.int/en/forecasts/datasets/reanalysis-datasets/era5'.,Auto-generated from primary URL; review and enrich manually.,,,,,,,,,,,,,
gbif_gbif,GBIF,GBIF species occurrence portal,GBIF,global biodiversity infrastructure,https://www.gbif.org/,https://api.gbif.org/v1/,https://www.gbif.org/occurrence/download,https://www.gbif.org/developer/summary,https://www.gbif.org/resource/search?contentType=tool,open,True,REST + BigQuery,True,False,,,,,,,,,"GBIF—the Global Biodiversity Information Facility—is an international network and data infrastructure funded by the world's governments and aimed at providing anyone, anywhere, open access to data about all types of life on Earth.",,,,point occurrences,"biodiversity occurrence modelling, SDMs, data-rich conservation planning",global,,,,,,,,,,,,,,,,"various open licenses, mostly CC-BY / CC0",,,,,,,,,,,,,,Biodiversity/Occurrences MCP,,,,,Primary global occurrences provider. BigQuery mirror useful for heavy queries. Manual mapping applied for pattern 'gbif.org'.,Auto-generated from primary URL; review and enrich manually.,,,,,,,,,,,,,
cbd_geobon-headline-indicators-en.pdf,GEOBON EBV Headline Indicators,GEOBON Headline Indicators,GEO BON,,https://www.cbd.int/doc/c/815b/9afa/941a22fc6c8760acbf3ab6a3/geobon-headline-indicators-en.pdf,,,,,,False,,False,,,,,,,,,,,,,,,"policy reporting, TNFD-style risk metrics, global biodiversity tracking",global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biodiversity/Indicators MCP,,,,,Manual mapping applied for pattern 'geobon-headline-indicators-en.pdf'.,Auto-generated from primary URL; review and enrich manually.,,,,,,,,,,,,,
ipbes_ipbes_home_page_|_ipbes_secretariat,,IPBES Home page | IPBES secretariat,IPBES,,https://www.ipbes.net/,,https://files.ipbes.net/ipbes-web-prod-public-files/2025-11/em_2025_59_dialogue_knowledge_gaps.pdf,https://www.ipbes.net/documents,,registration or restricted,False,,True,True,,,,,,,,,The Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES) is the intergovernmental body which assesses the state of biodiversity and of the ecosystem services.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto-generated from primary URL; review and enrich manually.,,,,,,,,,,,,,
worldclim_help_—_worldclim_1_documentation,WorldClim,WorldClim global climate surfaces,WorldClim,academic / research consortium,https://www.worldclim.org/data/help.html,,https://www.worldclim.org/data/worldclim21.html,,,open with terms,False,,True,False,,,,,,,,,,,,,raster grid,"species distribution modelling, ecological niche modelling, climate envelopes",global,,,,1970.0,recent historical and future scenarios,monthly climatologies,infrequent (versioned releases),,,,,,,,,,,,,,,,,,,,,,,EO/Climate MCP,,,,,Static/global climate grids; complement ERA5 for SDMs. Manual mapping applied for pattern 'worldclim.org'.,Auto-generated from primary URL; review and enrich manually.,,,,,,,,,,,,,
worldclim_global_climate_and_weather_data_—_worldc,WorldClim,WorldClim global climate surfaces,WorldClim,academic / research consortium,https://www.worldclim.org/data/index.html,,https://www.worldclim.org/data/worldclim21.html,https://www.worldclim.org/data/help.html,,open with terms,False,,True,False,,,,,,,,,WorldClim is a database of high spatial resolution global weather and climate data. These data can be used for mapping and spatial modeling. The data are provided for use in research and related activities; and some specialized skill and knowledge is needed to use them (here is some help). More easily available data for the general public will soon be available here.,,,,raster grid,"species distribution modelling, ecological niche modelling, climate envelopes",global,,,,1970.0,recent historical and future scenarios,monthly climatologies,infrequent (versioned releases),,,,,,,,,,,,,,,,,,,,,,,EO/Climate MCP,,,,,Static/global climate grids; complement ERA5 for SDMs. Manual mapping applied for pattern 'worldclim.org'.,Auto-generated from primary URL; review and enrich manually.,,,,,,,,,,,,,
worldclim_index.html,WorldClim,WorldClim global climate surfaces,WorldClim,academic / research consortium,https://www.worldclim.org/maps/index.html,,,,,open with terms,False,,True,False,,,,,,,,,,,,,raster grid,"species distribution modelling, ecological niche modelling, climate envelopes",global,,,,1970.0,recent historical and future scenarios,monthly climatologies,infrequent (versioned releases),,,,,,,,,,,,,,,,,,,,,,,EO/Climate MCP,,,,,Static/global climate grids; complement ERA5 for SDMs. Manual mapping applied for pattern 'worldclim.org'.,Auto-generated from primary URL; review and enrich manually.,,,,,,,,,,,,,
globio_globioweb_|_globio_-_global_biodiversity,,GLOBIOweb | GLOBIO - Global biodiversity model for policy support - homepage,GLOBIO,,https://www.globio.info/globioweb,https://globiowebapi.globio.info/ogc/wmts?service=wmts&version=1.0.0&request=getcapabilities,https://www.fao.org/faostat/en,,,open,True,REST,True,False,,,,,,,,,"GLOBIOweb is a online tool designed to provide easy access to indicators and spatial data generated with the GLOBIO model. Via the interface, users can easily view and navigate over the global map and explore model results for recent years as well as future scenarios. To support further offline mapping and analysis, users can select and download model results for a region and year of interest. ...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto-generated from primary URL; review and enrich manually.,,,,,,,,,,,,,
